id,title,description,link,image_link,availability,price_czk,google_product_category,brand,product_type,rank,Doporučený věk,Doporučené použití,Doporučený povrch,Balení míčků,Typ míče,item_group_id,link_master,image_link_master
65258,Tenisové míče Wilson  Triniti (4 pcs),"Tenisové míče wilson  triniti (4 pcs)  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-wilson-triniti-4-pcs/d65258,https://www.sportega.cz/tenisove-mice-wilson-triniti-4-pcs-65258.jpg,in stock,229 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky,5103,,zápasové a turnajové nasazení,všechny povrchy,dóza po 4 ks,Tlakovaný,65258,https://www.sportega.cz/tenisove-mice-wilson-triniti-4-pcs/d65258,https://www.sportega.cz/tenisove-mice-wilson-triniti-4-pcs-65258.jpg
76771,Tenisové míče Wilson  Roland Garros All Court (4 Pack),"Tenisové míče wilson roland garros all court (4 ks) jsou ideálními parťáky pro hru na tvrdých površích, či koberci. Jsou vyrobené z odolné a trvanlivé plsti, která zaručuje životnost nejen na pár zápasů. Velkou výhodou těchto míčků je speciální materiál, který brání vlhkosti.",https://www.sportega.cz/tenisove-mice-wilson-roland-garros-all-court-4-pack/d76771,https://www.sportega.cz/tenisove-mice-wilson-roland-garros-all-court-4-pack-76771.jpg,in stock,179 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky,16063,,zápasové a turnajové nasazení,všechny povrchy,dóza po 4 ks,Tlakovaný,76771,https://www.sportega.cz/tenisove-mice-wilson-roland-garros-all-court-4-pack/d76771,https://www.sportega.cz/tenisove-mice-wilson-roland-garros-all-court-4-pack-76771.jpg
13626,Dětské tenisové míče Tretorn  Academy Orange (3 Pack),"Dětské tenisové míče tretorn  academy orange (3 pack)  jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tenisáky s dlouhou životností na rekreační tenis",https://www.sportega.cz/detske-tenisove-mice-tretorn-academy-orange-3-pack/d13626,https://www.sportega.cz/detske-tenisove-mice-tretorn-academy-orange-3-pack-13626.jpg,in stock,159 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tretorn,Sportega > Tenis > Míčky > Míče pro děti,867,8-9 let,"tréninkové nasazení,začínající hráči",všechny povrchy,dóza po 3 ks,Netlakovaný,13626,https://www.sportega.cz/detske-tenisove-mice-tretorn-academy-orange-3-pack/d13626,https://www.sportega.cz/detske-tenisove-mice-tretorn-academy-orange-3-pack-13626.jpg
33482,Dětské tenisové míče Wilson  Starter Red (36 Pack),"Dětské tenisové míče wilson  starter red (36 pack)  jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tlakované tenisové míče s větší pružností",https://www.sportega.cz/detske-tenisove-mice-wilson-starter-red-36-pack/d33482,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-red-36-pack-33482.jpg,in stock,1579 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky > Míče pro děti,8600,5-8 let,"tréninkové nasazení,volný čas,školní aktivity",všechny povrchy,36 ks,Tlakovaný,33482,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-red-36-pack/d33482,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-red-36-pack-33482.jpg
21548,Dětské tenisové míče Wilson  Starter Orange (3 Pack),"Dětské tenisové míče wilson  starter orange (3 pack)  jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tlakované tenisové míče s větší pružností",https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-3-pack/d21548,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-3-pack-21548.jpg,in stock,155 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky > Míče pro děti,3939,8-9 let,"tréninkové nasazení,volný čas,školní aktivity",všechny povrchy,dóza po 3 ks,Tlakovaný,21548,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-3-pack/d21548,https://www.sportega.cz/detske-tenisove-mice-wilson-starter-orange-3-pack-21548.jpg
13717,Tenisové míče Tecnifibre  Club (4 Pack),"Tenisové míče tecnifibre  club (4 pack)  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-tecnifibre-club-4-pack/d13717,https://www.sportega.cz/tenisove-mice-tecnifibre-club-4-pack-13717.jpg,in stock,199 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tecnifibre,Sportega > Tenis > Míčky,1193,,zápasové a turnajové nasazení,všechny povrchy,dóza po 4 ks,Tlakovaný,13717,https://www.sportega.cz/tenisove-mice-tecnifibre-club-4-pack/d13717,https://www.sportega.cz/tenisove-mice-tecnifibre-club-4-pack-13717.jpg
20316,Tenisové míče Slazenger  Wimbledon Ultra Vis (4 Pack),"Tenisové míče slazenger  wimbledon ultra vis (4 pack)  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-slazenger-wimbledon-ultra-vis-4-pack/d20316,https://www.sportega.cz/tenisove-mice-slazenger-wimbledon-ultra-vis-4-pack-20316.jpg,in stock,219 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Slazenger,Sportega > Tenis > Míčky,15527,,zápasové a turnajové nasazení,všechny povrchy,dóza po 4 ks,Tlakovaný,20316,https://www.sportega.cz/tenisove-mice-slazenger-wimbledon-ultra-vis-4-pack/d20316,https://www.sportega.cz/tenisove-mice-slazenger-wimbledon-ultra-vis-4-pack-20316.jpg
34108,Tenisové míče Tecnifibre  Court (4 Pack),"Tenisové míče tecnifibre court jsou špičkové míče pro všechny typy herních povrchů. Mají dynamické jádro a jejich povrch tvoří z 55 % přírodní vlna a bavlna.vnitřní část míčů je vyrobena z gumy grand touring rubber.balení obsahuje celkem 4 míče.všechny mají certifikaci iff a fft, což znamená, že na kontrole jejich kvality se podílely přední tenisové federace.",https://www.sportega.cz/tenisove-mice-tecnifibre-court-4-pack/d34108,https://www.sportega.cz/tenisove-mice-tecnifibre-court-4-pack-34108.jpg,in stock,189 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tecnifibre,Sportega > Tenis > Míčky,2008,,"tréninkové nasazení,volný čas",všechny povrchy,dóza po 4 ks,Tlakovaný,34108,https://www.sportega.cz/tenisove-mice-tecnifibre-court-4-pack/d34108,https://www.sportega.cz/tenisove-mice-tecnifibre-court-4-pack-34108.jpg
183410,Tenisové míče Yonex  Championship (4 Pack),Tenisové míče yonex championship jsou tlakované míče pro tréninkové použití se slušnou trvanlivostí. V balení 4 kusy.,https://www.sportega.cz/tenisove-mice-yonex-championship-4-pack/d183410,https://www.sportega.cz/tenisove-mice-yonex-championship-4-pack-183410.jpg,in stock,209 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Yonex,Sportega > Tenis > Míčky,1619,,tréninkové nasazení,všechny povrchy,dóza po 4 ks,Tlakovaný,183410,https://www.sportega.cz/tenisove-mice-yonex-championship-4-pack/d183410,https://www.sportega.cz/tenisove-mice-yonex-championship-4-pack-183410.jpg
79588,Tenisové míče Head  Tour XT (4 Pack),"Tenisové míče head  tour xt (4 pack)  jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-head-tour-xt-4-pack/d79588,https://www.sportega.cz/tenisove-mice-head-tour-xt-4-pack-79588.jpg,in stock,179 CZK,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Head,Sportega > Tenis > Míčky,68163,,"zápasové a turnajové nasazení,tréninkové nasazení","antuka,tvrdé povrchy",dóza po 4 ks,Tlakovaný,79588,https://www.sportega.cz/tenisove-mice-head-tour-xt-4-pack/d79588,https://www.sportega.cz/tenisove-mice-head-tour-xt-4-pack-79588.jpg
