id,title,description,link,image_link,availability,price_czk,google_product_category,brand,product_type,rank,Doporučené použití,Doporučený povrch,Balení míčků,Typ míče,item_group_id,link_master,image_link_master,group_title,unit_price_czk,age_min,age_max
13717,Tecnifibre Club (4 Pack),"Tenisové míče tecnifibre club (4 pack) jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-tecnifibre-club-4-pack/d13717,https://www.sportega.cz/tenisove-mice-tecnifibre-club-4-pack-13717.jpg,in stock,199.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tecnifibre,Sportega > Tenis > Míčky,1193,zápasové a turnajové nasazení,všechny povrchy,4.0,Tlakovaný,13717,https://www.sportega.cz/tenisove-mice-tecnifibre-club-4-pack/d13717,https://www.sportega.cz/tenisove-mice-tecnifibre-club-4-pack-13717.jpg,Tecnifibre Club (4 Pack),49.75,,
20316,Slazenger Wimbledon Ultra Vis (4 Pack),"Tenisové míče slazenger wimbledon ultra vis (4 pack) jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-slazenger-wimbledon-ultra-vis-4-pack/d20316,https://www.sportega.cz/tenisove-mice-slazenger-wimbledon-ultra-vis-4-pack-20316.jpg,in stock,219.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Slazenger,Sportega > Tenis > Míčky,15527,zápasové a turnajové nasazení,všechny povrchy,4.0,Tlakovaný,20316,https://www.sportega.cz/tenisove-mice-slazenger-wimbledon-ultra-vis-4-pack/d20316,https://www.sportega.cz/tenisove-mice-slazenger-wimbledon-ultra-vis-4-pack-20316.jpg,Slazenger Wimbledon Ultra Vis (4 Pack),54.75,,
34108,Tecnifibre Court (4 Pack),"Tenisové míče tecnifibre court jsou špičkové míče pro všechny typy herních povrchů. Mají dynamické jádro a jejich povrch tvoří z 55 % přírodní vlna a bavlna.vnitřní část míčů je vyrobena z gumy grand touring rubber.balení obsahuje celkem 4 míče.všechny mají certifikaci iff a fft, což znamená, že na kontrole jejich kvality se podílely přední tenisové federace.",https://www.sportega.cz/tenisove-mice-tecnifibre-court-4-pack/d34108,https://www.sportega.cz/tenisove-mice-tecnifibre-court-4-pack-34108.jpg,in stock,189.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tecnifibre,Sportega > Tenis > Míčky,2008,"tréninkové nasazení,volný čas",všechny povrchy,4.0,Tlakovaný,34108,https://www.sportega.cz/tenisove-mice-tecnifibre-court-4-pack/d34108,https://www.sportega.cz/tenisove-mice-tecnifibre-court-4-pack-34108.jpg,Tecnifibre Court (4 Pack),47.25,,
183410,Yonex Championship (4 Pack),Tenisové míče yonex championship jsou tlakované míče pro tréninkové použití se slušnou trvanlivostí. V balení 4 kusy.,https://www.sportega.cz/tenisove-mice-yonex-championship-4-pack/d183410,https://www.sportega.cz/tenisove-mice-yonex-championship-4-pack-183410.jpg,in stock,209.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Yonex,Sportega > Tenis > Míčky,1619,tréninkové nasazení,všechny povrchy,4.0,Tlakovaný,183410,https://www.sportega.cz/tenisove-mice-yonex-championship-4-pack/d183410,https://www.sportega.cz/tenisove-mice-yonex-championship-4-pack-183410.jpg,Yonex Championship (4 Pack),52.25,,
79588,Head Tour XT (4 Pack),"Tenisové míče head tour xt (4 pack) jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-head-tour-xt-4-pack/d79588,https://www.sportega.cz/tenisove-mice-head-tour-xt-4-pack-79588.jpg,in stock,179.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Head,Sportega > Tenis > Míčky,68163,"zápasové a turnajové nasazení,tréninkové nasazení","antuka,tvrdé povrchy",4.0,Tlakovaný,79588,https://www.sportega.cz/tenisove-mice-head-tour-xt-4-pack/d79588,https://www.sportega.cz/tenisove-mice-head-tour-xt-4-pack-79588.jpg,Head Tour XT (4 Pack),44.75,,
8576,Head Tour (4 Pack),"Tenisové míče head tour (4 pack) jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-head-tour-4-pack/d8576,https://www.sportega.cz/tenisove-mice-head-tour-4-pack-8576.jpg,in stock,179.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Head,Sportega > Tenis > Míčky,193822,"zápasové a turnajové nasazení,tréninkové nasazení",všechny povrchy,4.0,Tlakovaný,8576,https://www.sportega.cz/tenisove-mice-head-tour-4-pack/d8576,https://www.sportega.cz/tenisove-mice-head-tour-4-pack-8576.jpg,Head Tour (4 Pack),44.75,,
65053,Wilson Tour Premier All Court (4 Pack),"Tenisové míče wilson tour premier all court (4 pack) jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-wilson-tour-premier-all-court-4-pack/d65053,https://www.sportega.cz/tenisove-mice-wilson-tour-premier-all-court-4-pack-65053.jpg,in_stock,179.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Wilson,Sportega > Tenis > Míčky,44924,"zápasové a turnajové nasazení,tréninkové nasazení",všechny povrchy,4.0,Tlakovaný,65053,https://www.sportega.cz/tenisove-mice-wilson-tour-premier-all-court-4-pack/d65053,https://www.sportega.cz/tenisove-mice-wilson-tour-premier-all-court-4-pack-65053.jpg,Wilson Tour Premier All Court (4 Pack),44.75,,
8065,Tecnifibre Mini (3 Pack),"Dětské tenisové míče tecnifibre mini (3 pack) jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tlakované tenisové míče s větší pružností",https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-3-pack/d8065,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-3-pack-8065.jpg,in stock,139.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tecnifibre,Sportega > Tenis > Míčky > Míče pro děti,1209,"tréninkové nasazení,volný čas,školní aktivity",všechny povrchy,3.0,Tlakovaný,8065,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-3-pack/d8065,https://www.sportega.cz/detske-tenisove-mice-tecnifibre-mini-3-pack-8065.jpg,Tecnifibre Mini (3 Pack),46.333333333333336,8.0,9.0
161037,Tretorn Academy Green (36 Pack),"Dětské tenisové míče tretorn academy green (36 pack) jsou tenisáky pro děti. Tenisové míče pro děti jsou větší a lehčí, aby nejmenším tenistům usnadnily nácvik techniky a fyzicky nezatěžovaly ruce. Perfektně se hodí pro tenisové trenéry a kluby právě na trénink dětí. Tenisáky s dlouhou životností na rekreační tenis",https://www.sportega.cz/detske-tenisove-mice-tretorn-academy-green-36-pack/d161037,https://www.sportega.cz/detske-tenisove-mice-tretorn-academy-green-36-pack-161037.jpg,in_stock,1699.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Tretorn,Sportega > Tenis > Míčky > Míče pro děti,4338,"tréninkové nasazení,volný čas,školní aktivity",všechny povrchy,36.0,Netlakovaný,161037,https://www.sportega.cz/detske-tenisove-mice-tretorn-academy-green-36-pack/d161037,https://www.sportega.cz/detske-tenisove-mice-tretorn-academy-green-36-pack-161037.jpg,Tretorn Academy Green (36 Pack),47.19444444444444,9.0,10.0
9621,Head Team (4 Pack),"Tenisové míče head team (4 pack) jsou tenisové míčky pro pestrou hru. Pamatuj, že míčky postupem času ztrácí své vlastnosti a je potřeba je pravidelně měnit, proto neuděláš chybu, pokud si koupíš dvě tři dózy do zásoby.",https://www.sportega.cz/tenisove-mice-head-team-4-pack/d9621,https://www.sportega.cz/tenisove-mice-head-team-4-pack-9621.jpg,in stock,125.0,Sportovní potřeby > Atletické sporty > Tenis > Tenisové míčky,Head,Sportega > Tenis > Míčky,109896,"tréninkové nasazení,volný čas",všechny povrchy,4.0,Tlakovaný,9621,https://www.sportega.cz/tenisove-mice-head-team-4-pack/d9621,https://www.sportega.cz/tenisove-mice-head-team-4-pack-9621.jpg,Head Team (4 Pack),31.25,,
